# Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Short-wave irradiation
30/06/1993,298.29,88.44,1010.12,1.93,224.06,304.337016,120814.1
31/07/1993,297.54,89.15,1010.59,2.32,231.56,276.934212,133712.5
31/08/1993,297.34,88.57,1010.83,2.34,228.74,243.507024,139275.3
30/09/1993,297.8,89.47,1009.41,1.79,233.53,554.78484,110524.1
31/10/1993,298.51,88.35,1008.59,1.5,224.86,300.792276,117712.8
30/11/1993,298.58,88.09,1007.04,1.39,223.98,339.4593,106991.6
31/12/1993,298.36,79.49,1007.39,0.65,328.77,52.516008,125398.1
31/01/1994,298.36,79.05,1007.01,0.53,293.3,79.407036,144247
28/02/1994,299.62,76.99,1007.44,0.84,239.91,40.140936,142686.8
31/03/1994,299.86,84.89,1006.77,1.74,224.71,144.236484,124252.6
30/04/1994,299.6,86.43,1006.62,1.66,220.79,179.583444,123737.9
31/05/1994,299.12,88.43,1008.2,1.57,222.18,429.64272,106244.2
30/06/1994,298.26,89.01,1009.9,1.99,228.6,384.3072,116406.9
31/07/1994,297.51,89.49,1010.69,2.27,226.62,293.040612,130013.7
31/08/1994,297.46,89.57,1010.16,2.39,225.25,282.242484,137537.5
30/09/1994,297.72,89.6,1009.85,2.22,226.43,379.0854,127107.2
31/10/1994,298.09,89.43,1008.15,1.69,232.67,404.61264,109508.2
30/11/1994,298.12,83.78,1008.29,0.52,272.25,269.766576,116489.6
31/12/1994,297.04,74.49,1008.61,1.39,2.61,2.24776,157971.8
31/01/1995,297.97,72.32,1008.56,1.01,345.83,152.6832,147597.7
28/02/1995,299.33,76.41,1008.49,0.79,250.44,179.0514,128798.9
31/03/1995,299.82,84.95,1006.53,1.64,227.63,189.36864,117976.8
30/04/1995,299.63,87.59,1005.65,1.56,219.87,201.464568,101321.6
31/05/1995,299.27,87.99,1007.45,1.51,224.95,348.267672,112395.7
30/06/1995,298.52,89.51,1009.31,1.86,222.74,368.56656,109695.8
31/07/1995,297.86,89.42,1009.04,2.2,225.87,299.536776,131453.6
31/08/1995,297.79,90.08,1009.45,2.18,228.16,387.1998,122218.7
30/09/1995,297.98,89.82,1009.73,2.2,232.6,349.515,125813.2
31/10/1995,298.28,89.06,1008.04,1.71,233.59,504.84744,113872.6
30/11/1995,298.47,82.58,1007.76,0.75,303.15,253.68156,125838.2
31/12/1995,298.63,80.21,1008.32,0.7,291.29,151.764804,127629.6
31/01/1996,299.13,79.18,1006.5,1.04,265.49,63.407304,136560.4
28/02/1996,299.84,82.31,1006.08,1.69,240.41,215.036028,126756.5
31/03/1996,299.48,85.66,1006.23,1.69,223.18,249.9183,115065.1
30/04/1996,299.55,86.83,1006.19,1.51,215.49,201.057012,109998.5
31/05/1996,299.38,88.38,1007.65,1.57,217.8,355.603068,109424
30/06/1996,298.34,88.65,1009.5,1.95,219.68,269.545932,120926
31/07/1996,297.4,87.92,1011.03,2.22,224.2,227.863728,134748.8
31/08/1996,297.3,89.03,1010.31,2.42,220.3,236.232036,141915.3
30/09/1996,297.59,89.5,1009.18,2.33,228.55,369.47952,128966.8
31/10/1996,298.05,88.85,1008.44,1.61,239.52,460.34352,117279.3
30/11/1996,298.38,80.18,1007.38,0.67,309.84,82.444248,137966.2
31/12/1996,298.87,79.35,1007.78,0.81,262.53,220.934484,136214.4
31/01/1997,298.8,79.64,1007.49,0.95,266.02,76.811436,132142.1
28/02/1997,297.88,66.34,1007.99,1.36,338.96,8.729176,155668.5
31/03/1997,299.61,83.24,1006.66,1.28,238.89,369.44208,119929.5
30/04/1997,298.98,87.66,1008.14,1.64,223.91,298.43172,108355.3
31/05/1997,299.09,88.48,1008.88,1.61,227.9,374.23188,118405.3
30/06/1997,297.92,89.19,1009.36,2.22,219.06,462.16332,125714
31/07/1997,297.54,88.28,1011.2,2.51,228.97,265.619088,147503.5
31/08/1997,297.41,88.36,1011.25,2.4,230.5,236.373696,150592.6
30/09/1997,298.39,87.64,1009.43,1.99,228.73,427.50144,132985.5
31/10/1997,299.24,86.53,1007.94,1.64,232.2,325.022436,122259.2
30/11/1997,299.42,85.92,1007.56,1.39,231.21,393.38136,118702.3
31/12/1997,298.89,77.77,1008.44,0.74,321.75,42.99354,132369.4
31/01/1998,297.94,73.95,1007.41,1.14,359.9,15.947582,149801.9
28/02/1998,301.09,74.03,1008.27,0.78,262.05,36.55026,142302.5
31/03/1998,301.08,75.86,1006.31,1,245.61,110.913876,141078.8
30/04/1998,300.82,86.96,1006.19,1.69,220.26,199.688256,110842.3
31/05/1998,300.26,87,1008.26,1.7,227.07,268.494084,120295.9
30/06/1998,299.07,87.89,1010.09,1.64,234.86,372.19896,107294
31/07/1998,298.04,88.01,1010.34,2.24,235.92,280.004076,117602.8
31/08/1998,297.87,87.32,1009.76,2.38,237.12,178.221528,153213.7
30/09/1998,298.06,89.95,1009.19,2.04,236.43,503.95932,109682.4
31/10/1998,298.56,88.96,1008.85,1.65,235.13,483.03072,110107.1
30/11/1998,299.23,86.58,1007.05,1.09,234.05,356.694696,100924.3
31/12/1998,298.45,79.22,1007.67,0.68,310.92,77.172264,126153.8
31/01/1999,298.86,79.26,1006.75,0.81,278.85,138.490884,134427.6
28/02/1999,299.63,84.25,1006.45,1.53,244.35,113.820912,93857.24
31/03/1999,299.89,85.25,1005,1.83,224.81,180.075852,107331.8
30/04/1999,299.7,85.53,1006.72,1.63,223,212.41512,111362.1
31/05/1999,299.44,85.72,1007.65,1.48,221.06,220.719996,120151.1
30/06/1999,298.85,87.13,1008.57,1.55,217.64,309.82284,106636.9
31/07/1999,298.02,85.87,1010.23,2.03,231.45,253.324152,126934.3
31/08/1999,298.2,85.07,1009.97,2.04,236.26,242.700048,130299
30/09/1999,298.03,87.07,1008.64,2.01,236.13,353.242296,116439.5
31/10/1999,297.91,89.38,1008.71,1.86,233.52,493.10856,105163.6
30/11/1999,298.55,87.48,1007.58,1.25,227.14,322.135704,98354.9
31/12/1999,298.73,80.76,1007.05,0.64,251.92,54.410652,107482.9
31/01/2000,299.18,80.6,1005.86,1,256.23,85.526604,119491
28/02/2000,298.91,71.62,1007.24,0.65,300.71,20.489065,134370.9
31/03/2000,299.78,82.33,1005.54,1.45,231.58,104.364684,112808.2
30/04/2000,299.75,85.39,1005.72,1.79,214.5,243.670212,117045.1
31/05/2000,299.56,86.5,1007.39,1.72,214.41,325.341792,111898.9
30/06/2000,298.2,89.59,1009.6,1.81,230.42,489.14964,96404.41
31/07/2000,297.55,89.52,1009.59,2.08,231.78,299.318724,118170.5
31/08/2000,297.29,88.76,1010.4,2.32,229.12,352.3491,132426.4
30/09/2000,297.55,89.43,1009.07,2.13,231.86,369.18972,110719.6
31/10/2000,298.33,88.57,1008.84,1.59,240.77,510.91092,116082.2
30/11/2000,298.93,87.09,1007.21,1.2,233.06,342.324504,106509.4
31/12/2000,297.69,78.62,1008.48,0.72,339.62,64.495656,145361.2
31/01/2001,297.75,71.62,1008.26,1.08,352.17,15.649009,163465.3
28/02/2001,298.27,75.19,1006.88,0.52,322.11,35.464972,121878.5
31/03/2001,299.98,84.14,1006.66,1.74,216.2,183.529692,108764.5
30/04/2001,299.75,86.49,1006.54,1.6,219.77,242.74062,105482.7
31/05/2001,299.37,88.45,1008,1.62,215.34,308.398716,102014.7
30/06/2001,298.22,88.24,1009.88,1.96,220.72,302.959836,109359.7
31/07/2001,297.53,86.96,1010.55,2.35,220.88,217.641924,136733.2
31/08/2001,297.43,86.96,1011.52,2.59,226.87,263.50776,146063.9
30/09/2001,297.63,88.17,1009.53,2.21,229.63,359.814816,131066.3
31/10/2001,298.73,87.66,1008.78,1.57,227.21,409.97772,118771.4
30/11/2001,298.95,87.14,1008.09,1.52,227.94,261.75078,109698.4
31/12/2001,299.71,81.02,1007.39,0.72,239.27,72.802728,141699
31/01/2002,297.88,68.54,1008.07,1.2,7.09,55.194408,157707.2
28/02/2002,299.6,75.69,1007.39,0.91,250.34,65.498436,127149.1
31/03/2002,300.15,84.45,1006.29,1.66,223,152.461764,113448.2
30/04/2002,299.85,87.08,1005.31,1.66,224.44,215.482104,111076.6
31/05/2002,299.89,87.62,1007.75,1.6,221.48,242.7543,118920.4
30/06/2002,298.52,89.66,1010.05,1.91,231.09,456.65172,99580.81
31/07/2002,298.07,90.11,1010.78,2.19,226.52,433.27224,106349.4
31/08/2002,297.77,88.97,1010.45,2.22,232.2,357.475752,129868.4
30/09/2002,298.17,88.34,1009.83,2.11,241.2,333.934704,124346.1
31/10/2002,298.65,87.07,1008.47,1.44,231.33,673.0704,121023.9
30/11/2002,298.97,85.45,1008.57,1.11,230.98,223.894152,110696.5
31/12/2002,298.22,78.63,1008.88,0.61,327.76,67.399812,133538.6
31/01/2003,298.86,78.34,1008.74,0.82,287.21,86.854464,131059.1
28/02/2003,300.3,82.39,1006.79,1.37,235.93,109.42542,112647.8
31/03/2003,300.17,85.29,1006.32,1.47,223.46,140.537124,97785.45
30/04/2003,299.87,86.73,1006.98,1.6,224.35,272.836476,111207.5
31/05/2003,299.51,88.6,1008.18,1.64,221.22,350.88282,99879.21
30/06/2003,298.56,87.59,1009.25,1.85,226.98,352.494144,107172
31/07/2003,298.02,88.38,1010.62,2.21,239.29,330.415308,127517.7
31/08/2003,298.05,87.9,1010.46,2.42,231.92,304.154532,127766.6
30/09/2003,298.38,88.66,1009.83,1.85,235.75,568.4544,111228.9
31/10/2003,298.98,88.91,1007.82,1.63,228.61,412.10784,105539.6
30/11/2003,299.19,87.91,1007.2,1.29,231.38,357.284952,103604.4
31/12/2003,298.53,79.29,1007.76,0.61,303.11,55.644084,121726.4
31/01/2004,299.09,80.96,1006.76,0.85,274.44,71.752716,116070.7
28/02/2004,299.55,80.17,1007.24,0.94,250.6,57.33,119618.7
31/03/2004,300.1,82.75,1006.33,1.33,236.68,134.651592,106460.2
30/04/2004,299.79,87.56,1006.85,1.83,220.76,286.469532,105578
31/05/2004,299.33,88.6,1008.59,1.89,221.71,337.042224,116557.1
30/06/2004,298.44,88.88,1010.9,2.07,226.94,316.08684,110747
31/07/2004,297.78,89.23,1010.1,2.21,231.91,491.29956,107452
31/08/2004,297.88,88.59,1010.71,2.47,225.93,305.02008,135472.7
30/09/2004,298.24,89.32,1009.17,1.96,229.06,334.09908,106610.3
31/10/2004,298.76,88.35,1008.38,1.61,224.89,405.02844,106319.5
30/11/2004,299.03,87.44,1007.46,1.29,222.29,277.943364,92049.29
31/12/2004,299.84,82.41,1006.79,0.93,247.54,62.602416,124424.6
31/01/2005,297.39,75.34,1007.27,0.79,1.79,31.968248,123318.9
28/02/2005,300.53,83.16,1005.59,1.42,238.42,105.37632,98717.15
31/03/2005,300.46,85.5,1006.57,1.68,218.24,181.846512,103834.2
30/04/2005,300.42,86.87,1006.44,1.8,213.93,240.276852,100023.9
31/05/2005,299.65,86.26,1008.02,1.8,212.09,266.370624,111645.8
30/06/2005,298.94,86.79,1009.22,2.18,219.36,334.490544,122194.7
31/07/2005,298.43,85.6,1010.76,2.23,229.27,285.633468,128720.6
31/08/2005,298.25,83.87,1010.27,2.5,227.85,215.838396,155128.5
30/09/2005,298.45,88.27,1009.46,2.19,227.66,365.52744,131611.2
31/10/2005,298.54,89,1008.78,1.6,224.63,445.01148,105442.3
30/11/2005,299.6,85.77,1006.99,1.2,227.03,135.648936,114823.8
31/12/2005,299.42,83.69,1006.22,1.05,225.38,94.330584,119295
31/01/2006,299.65,86.2,1005.96,1.57,237.26,122.95368,101617.2
28/02/2006,300.16,85.44,1005.92,1.8,226.58,135.637524,98843.12
31/03/2006,299.86,86.28,1006.84,1.75,221.1,174.150252,96446.88
30/04/2006,299.95,86.91,1005.95,1.73,206.15,197.53812,98719.54
31/05/2006,299.33,87.75,1008.37,1.74,213.39,306.49212,113068.9
30/06/2006,298.87,87.79,1009.2,1.7,217.64,278.692344,102584.1
31/07/2006,298.24,87.93,1010.34,2.34,224.92,309.961944,119413.2
31/08/2006,297.72,88.11,1009.93,2.44,225.72,228.9879,145136
30/09/2006,297.94,90.23,1009.73,2.1,231.8,327.921552,111863.8
31/10/2006,299.01,88.39,1007.86,1.59,228.52,362.68344,114231.1
30/11/2006,299.22,83.67,1007.46,0.78,237.2,180.05148,112646.6
31/12/2006,298.76,74.83,1008.6,0.52,349.99,19.176192,149208
31/01/2007,297.27,69.57,1008.42,1.15,15.3,6.270534,151105.7
28/02/2007,300.08,81.3,1007,1.33,239.51,79.730748,106228.8
